Overall Place,Gender Place,Category Place,Name,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time
1,1,1," KIPCHOGE, Eliud (KEN)",,3,M,18-39,Elite,01:01:00,02:04:17
2,2,2," KITATA, Tola Shura (ETH)",,8,M,18-39,Elite,01:01:00,02:04:49
3,3,3," FARAH, Mo (GBR)",,13,M,18-39,Elite,01:01:03,02:06:21
4,4,4," KIRUI, Abel (KEN)",,6,M,18-39,Elite,01:01:01,02:07:07
5,5,5," KAROKI, Bedan (KEN)",,9,M,18-39,Elite,01:01:00,02:08:34
6,6,6," BEKELE, Kenenisa (ETH)",,2,M,18-39,Elite,01:01:01,02:08:53
7,7,7," CHERONO, Lawrence (KEN)",,7,M,18-39,Elite,01:01:34,02:09:25
8,8,8," WANJIRU, Daniel (KEN)",,1,M,18-39,Elite,01:01:01,02:10:35
9,9,9," MESEL, Amanuel (ERI)",,12,M,18-39,Elite,01:03:56,02:11:52
10,10,10," GEBREGERGISH, Yohanes (ERI)",,11,M,18-39,Elite,01:03:35,02:12:09
11,11,11," OLEFIRENKO, Ihor (UKR)",,17,M,18-39,Elite,01:06:30,02:15:06
12,12,12," SCULLION, Stephen (IRL)",,22,M,18-39,Elite,01:07:48,02:15:55
13,13,13," CABADA, Fernando (USA)",,16,M,18-39,Elite,01:06:30,02:17:39
14,14,14," MELLOR, Jonny (GBR)",,19,M,18-39,Elite,01:06:30,02:17:55
15,1,1," CHERUIYOT, Vivian (KEN)",,109,W,18-39,Elite,01:08:56,02:18:31
16,2,2," KOSGEI, Brigid (KEN)",,105,W,18-39,Elite,01:08:56,02:20:13
17,15,15," CHELANGA, Samuel (USA)",,20,M,18-39,Elite,01:04:42,02:21:17
18,3,3," BEKELE, Tadelech (ETH)",,107,W,18-39,Elite,01:09:47,02:21:40
19,4,4," CHERONO, Gladys (KEN)",,103,W,18-39,Elite,01:08:56,02:24:10
20,5,5," KEITANY, Mary (KEN)",,101,W,18-39,Elite,01:07:16,02:24:27
21,16,16," HAMASAKI, Tatsunori (JPN)",,15,M,18-39,Elite,01:08:06,02:25:42
22,6,6," CHELIMO, Rose (BRN)",,108,W,18-39,Elite,01:10:52,02:26:03
23,7,7," DIBABA, Mare (ETH)",,104,W,18-39,Elite,01:09:48,02:27:45
24,8,8," PARTRIDGE, Lily (GBR)",,114,W,18-39,Elite,01:14:03,02:29:24
25,9,9," BARLOW, Tracy (GBR)",,113,W,18-39,Elite,01:14:03,02:32:09
26,10,10," BRUCE, Stephanie (USA)",,111,W,18-39,Elite,01:14:03,02:32:28
27,17,17," ADOLA, Guye (ETH)",,4,M,18-39,Elite,01:03:25,02:32:35
28,11,11," WADE, Rebecca (USA)",,112,W,18-39,Elite,01:14:38,02:35:01
29,12,12," MURRAY, Rebecca (GBR)",,117,W,18-39,Elite,01:17:10,02:39:37
30,13,13," COSTELLO, Liz (USA)",,116,W,18-39,Elite,01:16:12,02:40:04
31,18,18," CLOWES, Matthew (GBR)",,24,M,18-39,Elite,01:08:40,02:43:16
