Overall Place,Gender Place,Category Place,Name,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time
1.0,1.0,1.0," Kipchoge, Eliud (KEN)",,4,M,18-39,Elite,01:02:20,02:04:42
2.0,2.0,2.0," Kipsang, Wilson (KEN)",,1,M,18-39,Elite,01:02:20,02:04:47
3.0,3.0,3.0," Kimetto, Dennis (KEN)",,2,M,18-39,Elite,01:02:20,02:05:51
4.0,4.0,4.0," Biwott, Stanley (KEN)",,9,M,18-39,Elite,01:02:20,02:06:41
5.0,5.0,5.0," Regassa, Tilahun (ETH)",,10,M,18-39,Elite,01:02:20,02:07:18
6.0,6.0,6.0," Kitwara, Samuel (KEN)",,7,M,18-39,Elite,01:02:20,02:07:43
7.0,7.0,7.0," Guerra, Javier (ESP)",,19,M,18-39,Elite,01:04:48,02:09:33
8.0,8.0,8.0," Kibrom, Ghebre (ERI)",,14,M,18-39,Elite,01:03:15,02:09:36
9.0,9.0,9.0," Reunkov, Aleksey (RUS)",,13,M,18-39,Elite,01:04:47,02:10:10
10.0,10.0,10.0," Lebid, Serhiy (UKR)",,12,M,18-39,Elite,01:04:48,02:10:21
11.0,11.0,11.0," Mutai, Emmanuel (KEN)",,3,M,18-39,Elite,01:02:20,02:10:54
12.0,12.0,12.0," Shelley, Michael (AUS)",,18,M,18-39,Elite,01:05:46,02:11:19
13.0,13.0,13.0," Overall, Scott (GBR)",,17,M,18-39,Elite,01:05:46,02:13:13
14.0,14.0,14.0," Cooray, Anuradha (SRI)",,23,M,18-39,Elite,01:07:01,02:13:47
15.0,15.0,15.0," Raymaekers, Koen (NED)",,16,M,18-39,Elite,01:05:47,02:14:25
16.0,16.0,16.0," Ferreira, Hermano (POR)",,21,M,18-39,Elite,01:04:48,02:15:53
17.0,17.0,17.0," Hynes, Mathew (GBR)",,27,M,18-39,Elite,01:07:01,02:16:00
18.0,18.0,18.0," Karayel, Bekir (TUR)",,20,M,18-39,Elite,01:07:55,02:16:06
19.0,19.0,19.0," Kreienbuehl, Christian (SUI)",,22,M,18-39,Elite,01:08:16,02:17:00
20.0,20.0,20.0," Lizano, Cesar (CRC)",,25,M,18-39,Elite,01:08:20,02:21:31
21.0,1.0,1.0," Tufa, Tigist (ETH)",,109,W,18-39,Elite,01:11:43,02:23:22
22.0,2.0,2.0," Keitany, Mary (KEN)",,102,W,18-39,Elite,01:11:43,02:23:40
23.0,3.0,3.0," Tsegaye, Tirfi (ETH)",,106,W,18-39,Elite,01:11:43,02:23:41
24.0,4.0,4.0," Mergia, Aselefech (ETH)",,103,W,18-39,Elite,01:11:42,02:23:53
25.0,5.0,5.0," Kiplagat, Florence (KEN)",,104,W,18-39,Elite,01:11:43,02:24:15
26.0,6.0,6.0," Sumgong, Jemima (KEN)",,108,W,18-39,Elite,01:11:43,02:24:23
27.0,7.0,7.0," Jeptoo, Priscah (KEN)",,105,W,18-39,Elite,01:11:43,02:25:01
28.0,8.0,8.0," Felix, Ana Dulce (POR)",,112,W,18-39,Elite,01:12:12,02:25:15
29.0,9.0,9.0," Mazuronak, Volha (BLR)",,122,W,18-39,Elite,01:14:03,02:25:36
30.0,21.0,21.0," Fincioen, Stijn (BEL)",,26,M,18-39,Elite,01:11:01,02:25:52
31.0,10.0,10.0," Kiplagat, Edna (KEN)",,101,W,18-39,Elite,01:11:44,02:27:16
32.0,11.0,11.0," Lewandowska, Iwona (POL)",,116,W,18-39,Elite,01:12:00,02:27:47
33.0,12.0,12.0," Nukuri, Diane (BDI)",,119,W,18-39,Elite,01:12:00,02:27:50
34.0,13.0,13.0," Arkhipova, Tatyana (RUS)",,111,W,18-39,Elite,01:14:03,02:28:42
35.0,14.0,14.0," Aguilar, Alessandra (ESP)",,114,W,18-39,Elite,01:12:20,02:29:45
36.0,15.0,15.0," Samuels, Sonia (GBR)",,120,W,18-39,Elite,01:14:37,02:31:46
37.0,16.0,16.0," Davies, Mary (NZL)",,117,W,18-39,Elite,01:14:37,02:34:22
38.0,17.0,1.0," Stepto, Emma (GBR)",,121,W,45-49,Elite,01:16:44,02:35:41
39.0,18.0,17.0," Robinson, Rebecca (GBR)",,123,W,18-39,Elite,01:16:09,02:36:51
,,," El Moukim, Rkia (MAR)",,115,W,18-39,Elite,DSQ,DSQ
,,," Gamera, Tetyana (UKR)",,110,W,18-39,Elite,DSQ,DSQ
