Overall Place,Gender Place,Category Place,Name,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time
1,1,1,"LEMMA, Sisay (ETH)",–,,M,18-39,Elite,1:01:26,02:04:01
2,2,2,"KIPCHUMBA, Vincent (KEN)",–,,M,18-39,Elite,1:01:25,02:04:28
3,3,3,"GEREMEW, Mosinet (ETH)",–,,M,18-39,Elite,1:01:25,02:04:41
4,4,4,"CHEBET, Evans (KEN)",–,,M,18-39,Elite,1:01:26,02:05:43
5,5,5,"LEGESE, Birhanu (ETH)",–,,M,18-39,Elite,1:01:25,02:06:10
6,6,6,"KITATA, Shura (ETH)",–,,M,18-39,Elite,1:02:59,02:07:51
7,7,7,"SESEMANN, Philip (GBR)",Leeds City,5,M,18-39,Elite,1:05:11,02:12:58
8,8,8,"GRIFFITHS, Joshua (GBR)",Swansea,2,M,18-39,Elite,1:05:46,02:13:39
9,9,9,"LEACH, Matthew (GBR)",Bedford & County,9,M,18-39,Elite,1:07:27,02:15:31
10,10,1,"DAVIES, Andrew (GBR)",Stockport,5,M,40-44,Elite,1:07:27,02:15:36
11,11,10,"MELLOR, Jonathan (GBR)",Liverpool Harriers,,M,18-39,Elite,1:05:16,02:16:09
12,12,11,"GHEBRESELASSIE, Weynay (GBR)",Shettleston,8,M,18-39,Elite,1:05:12,02:16:27
13,13,12,"HULSON, Charlie (GBR)",Liverpool Harriers,4,M,18-39,Elite,1:07:27,02:17:02
14,1,1,"JEPKOSGEI, Joyciline (KEN)",–,5,W,18-39,Elite,1:08:51,02:17:43
15,2,2,"AZIMERAW, Degitu (ETH)",–,7,W,18-39,Elite,1:08:52,02:17:58
16,14,13,"LUNN, Josh (GBR)",Cardiff AC,0,M,18-39,Elite,1:07:45,02:18:06
17,3,3,"BEKERE, Ashete (ETH)",–,0,W,18-39,Elite,1:08:52,02:18:18
18,15,14,"AADAN, Mohamud (GBR)",Thames Valley,1,M,18-39,Elite,1:05:14,02:18:19
19,16,2,"TORRY, Nicholas (GBR)",Sepentine,6,M,40-44,Elite,1:07:45,02:18:39
20,4,4,"KOSGEI, Brigid (KEN)",–,1,W,18-39,Elite,1:08:52,02:18:40
21,5,5,"SALPETER, Lonah Chemtai (ISR)",–,2,W,18-39,Elite,1:08:51,02:18:54
22,17,15,"MUSSON, Doug (GBR)",Notts AC,3,M,18-39,Elite,1:07:27,02:20:28
23,6,6,"JEMELI, Valary (KEN)",–,6,W,18-39,Elite,1:08:52,02:20:35
24,7,7,"MELLY, Joan Chelimo (KEN)",–,1,W,18-39,Elite,1:08:52,02:21:23
25,8,8,"YIMER, Zeineba (ETH)",–,8,W,18-39,Elite,1:08:51,02:21:40
26,9,9,"GIRMA, Tigist (ETH)",–,9,W,18-39,Elite,1:08:52,02:22:45
27,18,16,"CROWE, Jamie (GBR)",Central ,4,M,18-39,Elite,1:07:28,02:22:48
28,10,10,"PURDUE, Charlotte (GBR)",Aldershot Farnham & District,4,W,18-39,Elite,1:11:44,02:23:26
29,19,17,"WOODFINE, Tristan (CAN)",–,0,M,18-39,Elite,1:05:22,02:23:35
30,11,11,"DIBABA, Birhane (ETH)",–,4,W,18-39,Elite,1:08:52,02:24:21
32,12,1,"DIVER, Sinead (AUS)",–,3,W,40-44,Elite,1:12:26,02:27:16
33,13,12,"MEGERTU, Alemu (ETH)",–,2,W,18-39,Elite,1:08:52,02:27:18
34,21,18,"NASH, Dan (GBR)",Cardiff AC,1,M,18-39,Elite,1:08:56,02:29:12
35,14,13,"WELLINGS, Eloise (AUS)",–,1,W,18-39,Elite,1:14:36,02:29:42
37,16,14,"HARRISON, Samantha (GBR)",Charnwood AC,0,W,18-39,Elite,1:13:28,02:32:22
38,17,15,"COCKRAM, Natasha (GBR)",Micky Morris Racing Team ,5,W,18-39,Elite,1:14:37,02:32:32
39,18,16,"BRIGGS, Becky (GBR)",City of Hull,9,W,18-39,Elite,1:15:20,02:34:34
40,19,17,"MITCHELL, Naomi (GBR)",Reading AC,7,W,18-39,Elite,1:15:19,02:38:06
41,20,18,"HASSETT, Dylan (IRL)",–,8,W,18-39,Elite,1:15:24,02:39:28
