Overall Place,Gender Place,Category Place,Name,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time
1.0,1.0,1.0," Kipsang, Wilson (KEN)",,2,M,18-39,Elite,01:02:31,02:04:29
2.0,2.0,2.0," Biwott, Stanley (KEN)",,8,M,18-39,Elite,01:02:31,02:04:55
3.0,3.0,3.0," Kebede, Tsegaye (ETH)",,1,M,18-39,Elite,01:02:30,02:06:30
4.0,4.0,4.0," Abshero, Ayele (ETH)",,5,M,18-39,Elite,01:02:31,02:06:31
5.0,5.0,5.0," Mekonnen, Tsegaye (ETH)",,6,M,18-39,Elite,01:02:31,02:08:06
6.0,6.0,6.0," Mutai, Geoffrey (KEN)",,4,M,18-39,Elite,01:02:31,02:08:18
7.0,7.0,7.0," Mutai, Emmanuel (KEN)",,3,M,18-39,Elite,01:02:31,02:08:19
8.0,8.0,8.0," Farah, Mo (GBR)",,26,M,18-39,Elite,01:03:08,02:08:21
9.0,9.0,9.0," Lilesa, Feyisa (ETH)",,7,M,18-39,Elite,01:02:31,02:08:26
10.0,10.0,10.0," Vail, Ryan (USA)",,18,M,18-39,Elite,01:05:05,02:10:57
11.0,11.0,11.0," Thompson, Chris (GBR)",,28,M,18-39,Elite,01:05:05,02:11:19
12.0,12.0,12.0," Kiprotich, Stephen (UGA)",,11,M,18-39,Elite,01:03:48,02:11:37
13.0,13.0,13.0," Coolsaet, Reid (CAN)",,17,M,18-39,Elite,01:05:05,02:13:40
14.0,14.0,14.0," Nimo, Pedro (ESP)",,19,M,18-39,Elite,01:05:56,02:14:15
15.0,15.0,15.0," Livesey, Ben (GBR)",,29,M,18-39,Elite,01:07:21,02:17:44
16.0,16.0,16.0," Tsegay, Samuel (ERI)",,12,M,18-39,Elite,01:03:14,02:19:10
17.0,17.0,17.0," Overall, Scott (GBR)",,16,M,18-39,Elite,01:05:04,02:19:55
18.0,1.0,1.0," Kiplagat, Edna (KEN)",,104,W,18-39,Elite,01:09:17,02:20:21
19.0,2.0,2.0," Kiplagat, Florence (KEN)",,103,W,18-39,Elite,01:09:16,02:20:24
20.0,3.0,3.0," Dibaba, Tirunesh (ETH)",,115,W,18-39,Elite,01:09:17,02:20:35
21.0,4.0,4.0," Tadese, Feyse (ETH)",,106,W,18-39,Elite,01:09:57,02:21:42
22.0,5.0,5.0," Kebede, Aberu (ETH)",,105,W,18-39,Elite,01:09:57,02:23:21
23.0,18.0,18.0," Hagos, Yared (ETH)",,25,M,18-39,Elite,01:08:01,02:23:22
24.0,6.0,6.0," Augusto, Jessica (POR)",,108,W,18-39,Elite,01:12:33,02:24:25
25.0,7.0,7.0," Felix, Ana Dulce (POR)",,110,W,18-39,Elite,01:12:45,02:26:46
26.0,8.0,8.0," Gelana, Tiki (ETH)",,102,W,18-39,Elite,01:11:22,02:26:58
27.0,9.0,9.0," Shimizu, Yuko (JPN)",,118,W,18-39,Elite,01:12:51,02:32:00
28.0,10.0,10.0," Nukuri-Johnson, Diane (BDI)",,112,W,18-39,Elite,01:12:50,02:33:01
29.0,11.0,11.0," Whitehead, Amy (GBR)",,113,W,18-39,Elite,01:17:19,02:34:20
30.0,12.0,1.0," Stepto, Emma (GBR)",,114,W,40-44,Elite,01:17:35,02:36:05
,,," Gamera-Shmyrko, Tetyana (UKR)",,107,W,18-39,Elite,DSQ,DSQ
,,," Kovalenko, Liudmyla (UKR)",,117,W,18-39,Elite,DSQ,DSQ
