Overall Place,Gender Place,Category Place,Name,Club,Runner Number,Gender,Category,Event,Half Time,Finish Time
1,1,1,"KITATA, Shura (ETH)",–,8,M,18-39,Elite M,-,02:05:41
1,1,1,"KOSGEI, Brigid (KEN)",–,101,W,18-39,Elite W,-,02:18:58
2,2,2,"KIPCHUMBA, Vincent (KEN)",–,9,M,18-39,Elite M,-,02:05:42
2,2,2,"HALL, Sara (USA)",–,108,W,18-39,Elite W,-,02:22:01
3,3,3,"LEMMA, Sisay (ETH)",–,5,M,18-39,Elite M,-,02:05:45
3,3,3,"CHEPNGETICH, Ruth (KEN)",–,102,W,18-39,Elite W,-,02:22:05
4,4,4,"GEREMEW, Mosinet (ETH)",–,3,M,18-39,Elite M,-,02:06:04
4,4,4,"BEKERE, Ashete (ETH)",–,106,W,18-39,Elite W,-,02:22:51
5,5,5,"WASIHUN, Mule (ETH)",–,4,M,18-39,Elite M,-,02:06:08
5,5,5,"MEGERTU, Alemu (ETH)",–,107,W,18-39,Elite W,-,02:24:23
6,6,6,"TOLA, Tamirat (ETH)",–,6,M,18-39,Elite M,-,02:06:41
6,6,6,"SEIDEL, Molly (USA)",–,115,W,18-39,Elite W,-,02:25:13
7,7,7,"KIPRUTO, Benson (KEN)",–,46,M,18-39,Elite M,-,02:06:42
7,7,7,"STEYN, Gerda (RSA)",–,116,W,18-39,Elite W,-,02:26:51
8,8,8,"KIPCHOGE, Eliud (KEN)",–,1,M,18-39,Elite M,-,02:06:49
8,8,1,"DIVER, Sinead (AUS)",–,109,W,40-44,Elite W,-,02:27:07
9,9,8,"MYKHAYLOVA, Darya (UKR)",–,118,W,18-39,Elite W,-,02:27:29
9,9,9,"NORDSTAD MOEN, Sondre (NOR)",–,10,M,18-39,Elite M,-,02:09:01
10,10,9,"JEMELI, Valary (KEN)",–,104,W,18-39,Elite W,-,02:28:18
10,10,10,"KIPSEREM, Marius (KEN)",–,7,M,18-39,Elite M,-,02:09:25
11,11,10,"CHELIMO, Edith (KEN)",–,129,W,18-39,Elite W,-,02:29:03
11,11,11,"SCULLION, Stephen (IRL)",–,23,M,18-39,Elite M,-,02:09:49
12,12,11,"PASHLEY, Ellie (AUS)",–,111,W,18-39,Elite W,-,02:31:31
12,12,12,"HERZOG, Peter (AUT)",–,20,M,18-39,Elite M,-,02:10:06
13,13,12,"COCKRAM, Natasha (GBR)",Micky Morris Racing Team ,122,W,18-39,Elite W,-,02:33:19
13,13,13,"MELLOR, Jonathan (GBR)",Liverpool Harriers,15,M,18-39,Elite M,-,02:10:38
14,14,13,"MITCHELL, Naomi (GBR)",Reading AC,128,W,18-39,Elite W,-,02:33:23
14,14,14,"WOODFINE, Tristan (CAN)",–,26,M,18-39,Elite M,-,02:10:51
15,15,15,"CONNOR, Ben (GBR)",Derby AC,45,M,18-39,Elite M,-,02:11:20
15,15,14,"BARLOW, Tracy (GBR)",Thames Valley,121,W,18-39,Elite W,-,02:34:42
16,16,15,"JONES, Tish (GBR)",Belgrave Harriers,124,W,18-39,Elite W,-,02:36:25
16,16,16,"LUIS BARRIOS, Juan (MEX)",–,19,M,18-39,Elite M,-,02:11:37
17,17,16,"FLANAGAN, Lindsay (USA)",–,117,W,18-39,Elite W,-,02:37:16
17,17,17,"WARD, Jared (USA)",–,13,M,18-39,Elite M,-,02:12:38
18,18,17,"UMMELS, Bo (NED)",–,126,W,18-39,Elite W,-,02:39:54
18,18,18,"GRIFFITHS, Joshua (GBR)",Swansea,30,M,18-39,Elite M,-,02:13:11
19,19,19,"THOMPSON, Chris (GBR)",Aldershot Farnham & District,22,M,18-39,Elite M,-,02:13:32
20,20,20,"HULSON, Charlie (GBR)",Liverpool Harriers,29,M,18-39,Elite M,-,02:13:34
21,21,21,"FRANS, Melikhaya (RSA)",–,33,M,18-39,Elite M,-,02:13:50
22,22,22,"GABIUS, Arne (GER)",–,12,M,18-39,Elite M,-,02:14:25
23,23,23,"KIPKETER, Gideon (KEN)",–,11,M,18-39,Elite M,-,02:14:36
24,24,24,"HICKEY, Adam (GBR)",Southend,38,M,18-39,Elite M,-,02:17:38
25,25,25,"LUNN, Josh (GBR)",Bedford & County,42,M,18-39,Elite M,-,02:17:59
